Stage,TileIndex,Tier,Branch,Type,VillageName
1,1,1,,Start,Henesys
1,2,1,,Village,Henesys
1,3,1,,Village,Henesys
1,4,1,,Hunt,Henesys
1,5,1,,Tax,Henesys
1,6,1,,Hunt,Henesys
1,7,1,,Hunt,Henesys
1,8,1,,Village,Henesys
1,9,1,,Village,Henesys
1,10,1,,Village,Henesys
1,11,1,,Hunt,Henesys
1,12,1,,Hunt,Henesys
1,13,1,,Village,Henesys
1,14,1,,Tax,Henesys
1,15,1,,Village,Henesys
1,16,1,,Village,Henesys
1,17,1,,Hunt,Henesys
1,18,1,,Village,Henesys
1,19,1,,Hunt,Henesys
1,20,1,,Hunt,Henesys
1,21,1,,Village,Henesys
1,22,1,,Village,Henesys
1,23,1,,Village,Henesys
1,24,1,,Tax,Henesys
1,25,1,,Hunt,Henesys
1,26,1,,Hunt,Henesys
1,27,1,,End,Henesys
2,1,1,,Start,Henesys
2,2,1,,Hunt,Henesys
2,3,1,,Hunt,Henesys
2,4,1,,Tax,Henesys
2,5,1,,Village,Henesys
2,6,1,,Village,Henesys
2,7,1,,HuntPlus,Henesys
2,8,1,,Hunt,Henesys
2,9,1,,Hunt,Henesys
2,10,1,START,Village,Henesys
2,11,1,A,Hunt,Perion
2,12,1,A,HuntPlus,Perion
2,13,1,A,Village,Perion
2,14,1,A,Hunt,Perion
2,15,1,A,Hunt,Perion
2,16,1,A,HuntPlus,Perion
2,17,1,A,Village,Perion
2,18,1,A,Village,Perion
2,19,1,A,Hunt,Perion
2,11,1,B,Village,Henesys
2,12,1,B,Hunt,Henesys
2,13,1,B,Hunt,Henesys
2,14,1,B,HuntPlus,Henesys
2,15,1,B,Village,Henesys
2,16,1,B,Village,Henesys
2,17,1,B,HuntPlus,Henesys
2,18,1,B,Hunt,Henesys
2,19,1,B,Hunt,Henesys
2,20,1,,Hunt,Henesys
2,21,2,,Hunt,Orbis
2,22,2,,Tax,Orbis
2,23,2,,Hunt,Orbis
2,24,2,,HuntPlus,Orbis
2,25,2,,Village,Sahel_Desert
2,26,2,,Hunt,Sahel_Desert
2,27,2,,Hunt,Sahel_Desert
2,28,2,,Boss,Magatia
2,29,2,,Village,Magatia
2,30,2,,HuntPlus,Magatia
2,31,2,START,Tax,Magatia
2,32,3,A,Hunt,Ludibrium
2,33,3,A,Boss,Ludibrium
2,34,3,A,Village,Ludibrium
2,35,3,A,Hunt,Ludibrium
2,36,2,A,HuntPlus,Ludibrium
2,37,2,A,Village,Ludibrium
2,38,3,A,Hunt,Ludibrium
2,39,3,A,Hunt,Ludibrium
2,32,3,B,Village,Leafre
2,33,3,B,HuntPlus,Leafre
2,34,3,B,Hunt,Leafre
2,35,3,B,Hunt,Leafre
2,36,3,B,Hunt,Leafre
2,37,3,B,Hunt,Leafre
2,38,3,B,Boss,Leafre
2,39,3,B,Village,Leafre
2,40,3,,Hunt,Leafre
2,41,4,,Hunt,Lion_Kings_Castle
2,42,4,,Hunt,Lion_Kings_Castle
2,43,4,,Boss,Lion_Kings_Castle
2,44,4,,Tax,Lion_Kings_Castle
2,45,4,,HuntPlus,Lion_Kings_Castle
2,46,4,,Village,Lion_Kings_Castle
2,47,4,,Village,Lion_Kings_Castle
2,48,4,,Boss,Lion_Kings_Castle
2,49,4,,Hunt,Lion_Kings_Castle
2,50,4,,Hunt,Lion_Kings_Castle
2,51,4,,HuntPlus,Lion_Kings_Castle
2,52,4,START,Hunt,Rootabyss
2,53,4,A,Hunt,Rootabyss
2,54,4,A,Village,Rootabyss
2,55,4,A,Village,Rootabyss
2,56,4,A,Boss,Rootabyss
2,57,4,A,HuntPlus,Rootabyss
2,58,4,A,HuntPlus,Rootabyss
2,59,4,A,Village,Rootabyss
2,60,4,A,Boss,Rootabyss
2,53,4,B,Village,Temple_of_Time
2,54,4,B,HuntPlus,Temple_of_Time
2,55,4,B,HuntPlus,Temple_of_Time
2,56,4,B,Hunt,Temple_of_Time
2,57,4,B,Village,Temple_of_Time
2,58,4,B,Boss,Temple_of_Time
2,59,4,B,Boss,Temple_of_Time
2,60,4,B,Village,Temple_of_Time
2,61,4,,Hunt,Rootabyss
2,62,5,,Hunt,Ruined_Henesys
2,63,5,,Village,Ruined_Henesys
2,64,5,,Village,Ruined_Henesys
2,65,5,,Hunt,Ruined_Henesys
2,66,5,,Boss,Ruined_Henesys
2,67,5,,Hunt,Ruined_Henesys
2,68,5,,Hunt,Ruined_Henesys
2,69,5,,HuntPlus,Ruined_Henesys
2,70,5,,Tax,Ruined_Henesys
2,71,5,,Boss,Ruined_Henesys
2,72,5,,Hunt,Ruined_Henesys
2,73,5,,HuntPlus,Ruined_Henesys
2,74,5,,Village,Ruined_Henesys
2,75,5,,Village,Ruined_Henesys
2,76,5,,Boss,Ruined_Henesys
2,77,5,,End,Ruined_Henesys
